CustomerID,FirstName,LastName,Email,Phone,City,State,Region,BirthYear,Gender,JoinDate,CustomerSegment,LoyaltyTier,ShoppingProfile,IsActive
20,Betty,Sanchez,betty.sanchez.20@gmail.com,(990) 270-2247,Milwaukee,WI,Midwest,1956,Female,2023-07-06,Consumer,Bronze,Regular,Yes
21,Nicole,Allen,nicole.allen.21@outlook.com,(939) 426-2352,San Diego,CA,West,1997,Female,2024-08-02,Consumer,Silver,Occasional,No
22,Anthony,Clark,anthony.clark.22@icloud.com,(522) 962-4954,Columbus,OH,Midwest,1987,Male,2024-06-10,Consumer,Bronze,Occasional,Yes
23,Edward,Sanchez,edward.sanchez.23@yahoo.com,(609) 372-2601,St. Louis,MO,Midwest,1992,Male,2026-08-07,Enterprise,Bronze,Occasional,Yes
24,Emma,Perez,emma.perez.24@gmail.com,(250) 324-3367,Chicago,IL,Midwest,1972,Female,2025-02-19,Consumer,Bronze,Occasional,No
25,Nathan,Moore,nathan.moore.25@yahoo.com,(868) 524-3455,Orlando,FL,South,1948,Male,2024-03-09,Consumer,Bronze,Occasional,Yes
26,Sarah,Hernandez,sarah.hernandez.26@protonmail.com,(464) 759-6124,Boston,MA,Northeast,1960,Female,2023-02-11,Consumer,Silver,Regular,Yes
27,Elizabeth,Lewis,elizabeth.lewis.27@yahoo.com,(431) 395-8693,Los Angeles,CA,West,2003,Female,2025-12-17,Consumer,Silver,Regular,Yes
28,Sophia,Walker,sophia.walker.28@icloud.com,(290) 318-5947,San Francisco,CA,West,1958,Female,2024-05-07,Consumer,Silver,Regular,Yes
29,Nathan,Clark,nathan.clark.29@yahoo.com,(200) 285-8240,Miami,FL,South,1999,Male,2025-11-03,Small Business,Bronze,Occasional,Yes
30,Richard,Brown,richard.brown.30@protonmail.com,(544) 540-3254,Boston,MA,Northeast,1999,Male,2023-04-10,Consumer,Silver,Occasional,Yes
31,Thomas,Jackson,thomas.jackson.31@yahoo.com,(857) 407-2482,Buffalo,NY,Northeast,1973,Male,2024-12-21,Consumer,Silver,Regular,Yes
32,Michael,Torres,michael.torres.32@outlook.com,(776) 611-1681,Charlotte,NC,South,1963,Male,2024-12-04,Small Business,Bronze,Occasional,Yes
33,Stephanie,Hernandez,stephanie.hernandez.33@yahoo.com,(858) 517-7745,Richmond,VA,South,1976,Female,2026-08-06,Consumer,Bronze,Regular,No
34,Justin,King,justin.king.34@protonmail.com,(251) 949-3395,St. Louis,MO,Midwest,1963,Male,2024-09-12,Consumer,Silver,Frequent,Yes
35,Barbara,Hill,barbara.hill.35@icloud.com,(200) 478-5536,Columbus,OH,Midwest,1983,Female,2026-04-28,Small Business,Gold,Regular,Yes
36,Daniel,Harris,daniel.harris.36@icloud.com,(442) 921-5366,Richmond,VA,South,1986,Male,2025-03-14,Consumer,Gold,Regular,Yes
37,Jessica,Moore,jessica.moore.37@protonmail.com,(818) 448-9069,Detroit,MI,Midwest,1977,Female,2026-01-06,Consumer,Silver,Occasional,Yes
38,Brian,Ramirez,brian.ramirez.38@icloud.com,(372) 318-5948,Denver,CO,West,1988,Male,2023-09-24,Consumer,Bronze,Regular,Yes
39,Linda,Lopez,linda.lopez.39@protonmail.com,(413) 782-1116,Indianapolis,IN,Midwest,1997,Female,2023-09-30,Consumer,Silver,Occasional,Yes
40,Justin,Williams,justin.williams.40@outlook.com,(846) 755-3275,Los Angeles,CA,West,1964,Male,2026-07-02,Small Business,Bronze,Regular,Yes
41,Justin,Anderson,justin.anderson.41@icloud.com,(772) 965-7585,Cleveland,OH,Midwest,1980,Male,2026-06-03,Small Business,Bronze,Regular,Yes
42,Mark,Anderson,mark.anderson.42@icloud.com,(914) 685-7572,Charlotte,NC,South,1957,Male,2025-11-25,Consumer,Gold,Regular,Yes
43,Amanda,Smith,amanda.smith.43@gmail.com,(525) 254-3573,Portland,OR,West,1952,Female,2025-05-20,Consumer,Bronze,Regular,Yes
44,Olivia,Wright,olivia.wright.44@protonmail.com,(347) 496-2764,Houston,TX,South,1975,Female,2025-03-03,Consumer,Bronze,Regular,Yes
45,Melissa,Scott,melissa.scott.45@outlook.com,(292) 929-2802,Las Vegas,NV,West,2003,Female,2024-09-21,Consumer,Bronze,Frequent,Yes
46,Sarah,Garcia,sarah.garcia.46@gmail.com,(391) 591-3223,Phoenix,AZ,West,1958,Female,2023-02-18,Small Business,Silver,Regular,Yes
47,Margaret,Wilson,margaret.wilson.47@icloud.com,(299) 915-1622,Boston,MA,Northeast,1977,Female,2026-06-21,Small Business,Bronze,Regular,Yes
48,Patricia,Allen,patricia.allen.48@yahoo.com,(252) 211-9545,Nashville,TN,South,1955,Female,2024-05-01,Consumer,Bronze,Regular,Yes
49,Justin,Anderson,justin.anderson.49@outlook.com,(893) 878-2992,Houston,TX,South,1964,Male,2024-02-15,Consumer,Bronze,Occasional,Yes
50,Lisa,King,lisa.king.50@protonmail.com,(834) 369-5041,Seattle,WA,West,1955,Female,2023-04-11,Small Business,Gold,Occasional,No
51,Lauren,Sanchez,lauren.sanchez.51@outlook.com,(519) 572-1873,Portland,OR,West,2005,Female,2026-01-08,Consumer,Bronze,Occasional,Yes
52,Lisa,Wright,lisa.wright.52@protonmail.com,(305) 482-9293,Los Angeles,CA,West,2004,Female,2025-04-11,Consumer,Bronze,Occasional,Yes
53,Margaret,Thomas,margaret.thomas.53@outlook.com,(295) 954-4225,Houston,TX,South,1983,Female,2025-06-25,Consumer,Bronze,Occasional,Yes
54,Michael,White,michael.white.54@yahoo.com,(558) 854-6562,Chicago,IL,Midwest,1952,Male,2025-10-17,Consumer,Bronze,Occasional,Yes
55,James,White,james.white.55@icloud.com,(347) 706-7889,San Francisco,CA,West,2001,Male,2024-10-05,Consumer,Bronze,Occasional,Yes
56,Kevin,Smith,kevin.smith.56@protonmail.com,(491) 381-7779,Buffalo,NY,Northeast,1998,Male,2026-04-21,Consumer,Bronze,Occasional,Yes
57,Thomas,Hill,thomas.hill.57@yahoo.com,(384) 489-7951,Newark,NJ,Northeast,1996,Male,2026-02-05,Consumer,Silver,Regular,Yes
58,Kevin,King,kevin.king.58@icloud.com,(563) 839-9426,Miami,FL,South,1963,Male,2024-12-07,Small Business,Silver,Frequent,Yes
59,William,Perez,william.perez.59@yahoo.com,(409) 333-8081,Houston,TX,South,1964,Male,2024-05-25,Consumer,Silver,Regular,No
60,Joseph,Johnson,joseph.johnson.60@outlook.com,(390) 998-8354,San Francisco,CA,West,1976,Male,2023-11-15,Consumer,Bronze,Regular,Yes
61,Edward,Torres,edward.torres.61@yahoo.com,(501) 549-8853,Cleveland,OH,Midwest,1991,Male,2023-10-08,Consumer,Gold,Regular,Yes
62,Anthony,Brown,anthony.brown.62@yahoo.com,(392) 480-8726,St. Louis,MO,Midwest,1992,Male,2024-07-29,Consumer,Silver,VIP,Yes
63,Joshua,Flores,joshua.flores.63@gmail.com,(514) 479-7426,New York,NY,Northeast,1999,Male,2024-10-28,Small Business,Bronze,Occasional,Yes
64,Brian,Lewis,brian.lewis.64@protonmail.com,(451) 213-3280,Nashville,TN,South,1975,Male,2023-01-27,Small Business,Silver,Regular,Yes
65,Lauren,Brown,lauren.brown.65@gmail.com,(285) 481-2882,Boston,MA,Northeast,1979,Female,2025-10-09,Consumer,Silver,Regular,Yes
66,Melissa,Flores,melissa.flores.66@yahoo.com,(919) 368-5971,San Diego,CA,West,2001,Female,2024-07-11,Consumer,Silver,Regular,Yes
67,Linda,Gonzalez,linda.gonzalez.67@yahoo.com,(813) 462-1440,Atlanta,GA,South,1990,Female,2024-01-13,Small Business,Bronze,Regular,Yes
68,Rebecca,Harris,rebecca.harris.68@protonmail.com,(812) 546-4486,Houston,TX,South,1974,Female,2025-04-08,Consumer,Bronze,Occasional,Yes
69,Edward,Martin,edward.martin.69@outlook.com,(677) 522-7722,New York,NY,Northeast,1958,Male,2025-09-14,Small Business,Silver,Regular,Yes
70,Linda,Lee,linda.lee.70@icloud.com,(848) 656-5055,San Francisco,CA,West,1985,Female,2025-10-02,Consumer,Bronze,Frequent,Yes
71,Nicole,Moore,nicole.moore.71@icloud.com,(406) 337-5581,Denver,CO,West,1998,Female,2023-02-15,Small Business,Bronze,Occasional,Yes
72,Matthew,Harris,matthew.harris.72@icloud.com,(941) 312-3413,Milwaukee,WI,Midwest,1956,Male,2024-07-07,Small Business,Bronze,Regular,Yes
73,James,Ramirez,james.ramirez.73@icloud.com,(813) 425-3664,Buffalo,NY,Northeast,1980,Male,2024-01-02,Consumer,Silver,Frequent,Yes
74,Margaret,Robinson,margaret.robinson.74@protonmail.com,(471) 942-9614,Los Angeles,CA,West,1956,Female,2026-01-30,Consumer,Silver,Occasional,Yes
75,Emily,Clark,emily.clark.75@gmail.com,(651) 430-7839,Buffalo,NY,Northeast,1978,Female,2026-06-21,Consumer,Bronze,Occasional,Yes
76,Abigail,Miller,abigail.miller.76@protonmail.com,(246) 859-2143,Hartford,CT,Northeast,1990,Female,2025-04-02,Consumer,Bronze,Regular,Yes
77,Thomas,Williams,thomas.williams.77@icloud.com,(360) 292-3653,Providence,RI,Northeast,1970,Male,2025-12-01,Small Business,Bronze,Regular,Yes
78,Olivia,Thomas,olivia.thomas.78@icloud.com,(543) 331-4125,Cleveland,OH,Midwest,1961,Female,2023-08-23,Enterprise,Silver,Regular,Yes
79,Barbara,Moore,barbara.moore.79@outlook.com,(533) 714-7560,San Francisco,CA,West,1969,Female,2026-04-05,Consumer,Bronze,Occasional,Yes
80,Brian,White,brian.white.80@yahoo.com,(388) 768-4658,Detroit,MI,Midwest,1956,Male,2023-04-25,Consumer,Bronze,VIP,Yes
81,Brian,Scott,brian.scott.81@gmail.com,(838) 747-3992,Dallas,TX,South,1998,Male,2026-06-17,Small Business,Bronze,Regular,Yes
82,Edward,Moore,edward.moore.82@gmail.com,(559) 595-4389,Minneapolis,MN,Midwest,1973,Male,2024-09-11,Consumer,Bronze,Regular,Yes
83,Kevin,Thomas,kevin.thomas.83@outlook.com,(790) 714-8621,Seattle,WA,West,1978,Male,2023-09-17,Consumer,Bronze,Regular,No
84,Rachel,Gonzalez,rachel.gonzalez.84@protonmail.com,(907) 682-8635,Charlotte,NC,South,1950,Female,2024-09-17,Consumer,Bronze,Frequent,Yes
85,Jacob,Martin,jacob.martin.85@outlook.com,(834) 361-9908,Richmond,VA,South,1995,Male,2025-10-30,Consumer,Bronze,Occasional,Yes
86,Patricia,Davis,patricia.davis.86@icloud.com,(722) 219-1701,San Diego,CA,West,1986,Female,2026-06-25,Consumer,Platinum,Regular,Yes
87,Nancy,Sanchez,nancy.sanchez.87@outlook.com,(729) 484-3995,Seattle,WA,West,1983,Female,2026-07-14,Small Business,Silver,Frequent,Yes
88,Lauren,Clark,lauren.clark.88@yahoo.com,(670) 954-4518,Milwaukee,WI,Midwest,1993,Female,2023-12-11,Consumer,Bronze,Regular,Yes
89,Betty,Harris,betty.harris.89@outlook.com,(284) 915-3997,Buffalo,NY,Northeast,1952,Female,2024-10-31,Consumer,Bronze,Regular,Yes
90,David,Jackson,david.jackson.90@gmail.com,(206) 632-7812,Dallas,TX,South,1962,Male,2025-04-02,Small Business,Bronze,Frequent,Yes
91,Jennifer,Anderson,jennifer.anderson.91@yahoo.com,(643) 712-7030,Philadelphia,PA,Northeast,1972,Female,2026-03-24,Consumer,Bronze,Occasional,Yes
92,Margaret,Torres,margaret.torres.92@outlook.com,(490) 406-2563,Phoenix,AZ,West,1990,Female,2026-05-29,Consumer,Bronze,Regular,Yes
93,Brian,White,brian.white.93@protonmail.com,(912) 753-8292,Seattle,WA,West,1982,Male,2023-02-24,Small Business,Bronze,Occasional,Yes
94,Ryan,Walker,ryan.walker.94@protonmail.com,(908) 304-1496,Orlando,FL,South,2000,Male,2025-10-06,Small Business,Bronze,VIP,Yes
95,Melissa,Scott,melissa.scott.95@outlook.com,(658) 517-1890,Newark,NJ,Northeast,1964,Female,2023-10-03,Consumer,Platinum,Frequent,No
96,Brandon,Moore,brandon.moore.96@outlook.com,(762) 810-8622,Portland,OR,West,1968,Male,2024-03-14,Consumer,Bronze,Regular,Yes
97,Patricia,Flores,patricia.flores.97@icloud.com,(611) 298-6461,San Francisco,CA,West,1952,Female,2025-04-23,Consumer,Platinum,Occasional,Yes
98,Susan,Clark,susan.clark.98@protonmail.com,(874) 735-1039,Las Vegas,NV,West,1945,Female,2025-07-04,Consumer,Gold,VIP,No
99,James,Torres,james.torres.99@protonmail.com,(492) 449-3450,Miami,FL,South,1956,Prefer not to say,2024-04-05,Consumer,Gold,Occasional,Yes
100,Charles,Taylor,charles.taylor.100@yahoo.com,(469) 700-2334,Minneapolis,MN,Midwest,2003,Male,2026-01-31,Consumer,Bronze,Regular,No
101,Jacob,Robinson,jacob.robinson.101@gmail.com,(475) 562-7707,Houston,TX,South,1985,Male,2024-11-20,Small Business,Bronze,Occasional,Yes
102,David,Jones,david.jones.102@icloud.com,(490) 457-5695,Charlotte,NC,South,1948,Male,2023-11-07,Small Business,Silver,Regular,Yes
103,Lisa,Smith,lisa.smith.103@yahoo.com,(370) 877-6291,Hartford,CT,Northeast,1949,Female,2024-04-23,Consumer,Silver,Regular,Yes
104,Daniel,Smith,daniel.smith.104@outlook.com,(486) 791-6653,Richmond,VA,South,1972,Male,2025-06-20,Consumer,Silver,Regular,Yes
105,Daniel,Martin,daniel.martin.105@yahoo.com,(749) 855-6563,Orlando,FL,South,1968,Male,2023-05-12,Consumer,Bronze,Occasional,Yes
106,Brian,Harris,brian.harris.106@gmail.com,(747) 959-5698,St. Louis,MO,Midwest,1985,Male,2026-02-26,Consumer,Bronze,Occasional,Yes
107,Lauren,Allen,lauren.allen.107@gmail.com,(983) 492-3435,San Francisco,CA,West,1974,Female,2024-02-17,Consumer,Gold,Frequent,Yes
108,Rebecca,Wright,rebecca.wright.108@outlook.com,(795) 968-8448,Nashville,TN,South,2000,Female,2026-04-08,Consumer,Silver,Regular,Yes
109,Susan,Clark,susan.clark.109@yahoo.com,(417) 855-4639,Orlando,FL,South,1966,Female,2024-06-15,Enterprise,Bronze,Occasional,Yes
110,Donald,Ramirez,donald.ramirez.110@icloud.com,(580) 466-2869,Columbus,OH,Midwest,2000,Male,2024-12-09,Consumer,Bronze,VIP,Yes
111,Joshua,Brown,joshua.brown.111@icloud.com,(789) 235-9700,Milwaukee,WI,Midwest,1997,Male,2023-01-18,Consumer,Bronze,Regular,Yes
112,Charles,Torres,charles.torres.112@outlook.com,(841) 460-2900,Seattle,WA,West,1981,Male,2025-03-23,Small Business,Silver,Frequent,No
113,Kevin,Davis,kevin.davis.113@icloud.com,(653) 416-2133,San Diego,CA,West,1962,Male,2026-03-23,Consumer,Bronze,Frequent,Yes
114,Jacob,Anderson,jacob.anderson.114@gmail.com,(980) 949-4408,Miami,FL,South,1949,Male,2024-07-03,Enterprise,Silver,Regular,Yes
115,Linda,Thompson,linda.thompson.115@protonmail.com,(921) 569-3630,Orlando,FL,South,1994,Female,2025-02-19,Consumer,Bronze,Regular,Yes
116,Barbara,Scott,barbara.scott.116@outlook.com,(558) 254-1035,Orlando,FL,South,1979,Prefer not to say,2023-12-10,Small Business,Silver,Occasional,Yes
117,Mary,Wright,mary.wright.117@icloud.com,(492) 517-3142,Chicago,IL,Midwest,1972,Female,2025-07-02,Enterprise,Silver,Regular,Yes
118,Sandra,Wright,sandra.wright.118@yahoo.com,(735) 580-1701,Indianapolis,IN,Midwest,1964,Female,2025-03-07,Consumer,Silver,Regular,Yes
119,George,Robinson,george.robinson.119@yahoo.com,(628) 489-5286,Atlanta,GA,South,1946,Nonbinary,2025-02-19,Consumer,Bronze,VIP,Yes
120,Megan,Hill,megan.hill.120@icloud.com,(845) 349-1654,Charlotte,NC,South,1957,Female,2025-10-06,Consumer,Platinum,Frequent,Yes
121,Joseph,Allen,joseph.allen.121@protonmail.com,(463) 413-4478,Portland,OR,West,1957,Male,2025-06-07,Consumer,Bronze,Regular,Yes
122,Emily,Martinez,emily.martinez.122@outlook.com,(272) 404-9739,Richmond,VA,South,1980,Female,2024-07-02,Consumer,Silver,Frequent,Yes
123,Susan,Anderson,susan.anderson.123@outlook.com,(678) 818-1510,Milwaukee,WI,Midwest,1978,Female,2023-09-20,Consumer,Bronze,Frequent,No
124,Sandra,Smith,sandra.smith.124@protonmail.com,(415) 345-2745,Portland,OR,West,1947,Female,2025-02-15,Small Business,Bronze,Occasional,Yes
125,Stephanie,Lee,stephanie.lee.125@protonmail.com,(227) 796-6317,Dallas,TX,South,1991,Female,2024-09-10,Consumer,Bronze,Regular,Yes
126,William,Martinez,william.martinez.126@icloud.com,(201) 806-2630,Nashville,TN,South,2003,Male,2026-02-23,Consumer,Gold,Occasional,No
127,Richard,Williams,richard.williams.127@protonmail.com,(836) 791-7185,Cleveland,OH,Midwest,1972,Male,2026-06-11,Consumer,Platinum,Occasional,Yes
128,Nancy,Martinez,nancy.martinez.128@protonmail.com,(570) 759-4618,Columbus,OH,Midwest,1960,Female,2025-10-17,Small Business,Bronze,Occasional,Yes
129,John,Johnson,john.johnson.129@protonmail.com,(521) 427-7117,Phoenix,AZ,West,1968,Male,2024-05-19,Small Business,Bronze,Frequent,Yes
130,Sarah,Brown,sarah.brown.130@outlook.com,(257) 426-4020,Orlando,FL,South,1978,Female,2023-07-24,Consumer,Bronze,Frequent,Yes
131,Joshua,Garcia,joshua.garcia.131@outlook.com,(771) 560-5239,Seattle,WA,West,1983,Male,2024-11-08,Small Business,Silver,Occasional,Yes
132,Andrew,Sanchez,andrew.sanchez.132@outlook.com,(631) 299-2636,Chicago,IL,Midwest,1998,Male,2025-11-07,Consumer,Silver,Occasional,Yes
133,Emma,Sanchez,emma.sanchez.133@icloud.com,(391) 682-5353,Minneapolis,MN,Midwest,1961,Female,2023-10-13,Consumer,Bronze,Occasional,Yes
134,Megan,Miller,megan.miller.134@icloud.com,(836) 203-4904,Richmond,VA,South,1986,Female,2024-01-03,Consumer,Bronze,Regular,Yes
135,Jennifer,Flores,jennifer.flores.135@outlook.com,(466) 675-3313,Orlando,FL,South,2005,Female,2026-07-09,Consumer,Bronze,Regular,No
136,Barbara,Hill,barbara.hill.136@gmail.com,(347) 694-7208,Charlotte,NC,South,1993,Female,2026-04-15,Consumer,Bronze,Occasional,No
137,Abigail,Thompson,abigail.thompson.137@icloud.com,(679) 444-7230,Atlanta,GA,South,1993,Female,2026-02-25,Consumer,Bronze,Occasional,Yes
138,Emily,Jackson,emily.jackson.138@gmail.com,(890) 995-9808,Cleveland,OH,Midwest,1982,Female,2026-08-04,Consumer,Silver,Regular,No
139,Kevin,Torres,kevin.torres.139@icloud.com,(232) 956-3457,Milwaukee,WI,Midwest,1998,Male,2024-02-04,Small Business,Silver,Regular,Yes
140,Ryan,Gonzalez,ryan.gonzalez.140@yahoo.com,(682) 392-7303,Pittsburgh,PA,Northeast,1971,Male,2024-05-18,Consumer,Bronze,Occasional,Yes
141,Nancy,Ramirez,nancy.ramirez.141@outlook.com,(527) 528-7485,Atlanta,GA,South,1991,Nonbinary,2025-04-23,Consumer,Bronze,VIP,Yes
142,Mary,Davis,mary.davis.142@outlook.com,(859) 228-1530,Richmond,VA,South,1977,Prefer not to say,2026-02-28,Consumer,Bronze,Occasional,Yes
143,Edward,Jones,edward.jones.143@yahoo.com,(484) 626-7352,Portland,OR,West,1976,Male,2025-05-15,Enterprise,Silver,Occasional,Yes
144,Steven,Williams,steven.williams.144@outlook.com,(398) 638-2287,Los Angeles,CA,West,1966,Male,2023-10-05,Consumer,Bronze,Occasional,Yes
145,Lauren,Anderson,lauren.anderson.145@icloud.com,(505) 514-3828,Orlando,FL,South,2002,Female,2024-01-03,Consumer,Bronze,Occasional,Yes
146,Nancy,Hill,nancy.hill.146@gmail.com,(733) 524-5472,Seattle,WA,West,1979,Female,2024-12-02,Consumer,Bronze,Occasional,Yes
147,Olivia,Johnson,olivia.johnson.147@protonmail.com,(784) 522-4502,Miami,FL,South,1953,Female,2025-12-10,Consumer,Bronze,Regular,Yes
148,Jessica,Nguyen,jessica.nguyen.148@yahoo.com,(687) 272-7541,Richmond,VA,South,1997,Female,2024-12-22,Consumer,Bronze,Regular,Yes
149,Nathan,Miller,nathan.miller.149@yahoo.com,(913) 550-4377,Seattle,WA,West,1998,Male,2024-04-19,Consumer,Bronze,Frequent,Yes
150,Jason,Rodriguez,jason.rodriguez.150@protonmail.com,(419) 253-7736,Buffalo,NY,Northeast,1968,Male,2024-06-23,Enterprise,Platinum,Frequent,Yes
151,Margaret,White,margaret.white.151@yahoo.com,(952) 734-8006,Detroit,MI,Midwest,1958,Female,2024-04-26,Consumer,Silver,Frequent,Yes
152,Anthony,Williams,anthony.williams.152@icloud.com,(786) 233-7644,Los Angeles,CA,West,1954,Male,2024-01-28,Consumer,Silver,Regular,Yes
153,Betty,Hill,betty.hill.153@icloud.com,(545) 741-9889,Nashville,TN,South,1948,Female,2025-04-23,Consumer,Bronze,Frequent,Yes
154,Donald,White,donald.white.154@protonmail.com,(523) 430-7913,Portland,OR,West,2002,Male,2025-11-25,Consumer,Silver,Regular,Yes
155,Barbara,Smith,barbara.smith.155@protonmail.com,(889) 734-7677,Atlanta,GA,South,1979,Female,2026-01-16,Small Business,Bronze,Occasional,Yes
156,Barbara,Young,barbara.young.156@icloud.com,(499) 526-7838,Houston,TX,South,1945,Female,2026-07-03,Enterprise,Silver,Frequent,Yes
157,David,Smith,david.smith.157@gmail.com,(784) 941-7167,Portland,OR,West,1967,Male,2024-06-21,Consumer,Bronze,Occasional,Yes
158,Sarah,King,sarah.king.158@gmail.com,(671) 255-4983,Detroit,MI,Midwest,1956,Female,2024-06-10,Consumer,Gold,VIP,Yes
159,Michael,Moore,michael.moore.159@protonmail.com,(201) 319-8290,Hartford,CT,Northeast,1975,Male,2023-07-09,Consumer,Bronze,Occasional,Yes
160,Joseph,Davis,joseph.davis.160@icloud.com,(811) 398-3724,Hartford,CT,Northeast,1990,Male,2026-07-19,Small Business,Silver,Regular,Yes
161,Jacob,Lewis,jacob.lewis.161@gmail.com,(295) 234-6913,Chicago,IL,Midwest,1994,Male,2023-09-21,Small Business,Bronze,Frequent,Yes
162,Amanda,Sanchez,amanda.sanchez.162@protonmail.com,(377) 385-1995,Detroit,MI,Midwest,1989,Female,2025-01-12,Consumer,Gold,Regular,Yes
163,Megan,White,megan.white.163@outlook.com,(691) 377-8031,Phoenix,AZ,West,1947,Female,2023-02-20,Consumer,Gold,Regular,Yes
164,Daniel,Young,daniel.young.164@yahoo.com,(431) 758-4313,Dallas,TX,South,1952,Male,2024-02-26,Consumer,Bronze,Regular,Yes
165,Nathan,Jackson,nathan.jackson.165@protonmail.com,(756) 904-6258,Pittsburgh,PA,Northeast,1950,Male,2024-08-15,Small Business,Bronze,Regular,Yes
166,Abigail,Lopez,abigail.lopez.166@yahoo.com,(828) 867-2462,Denver,CO,West,1953,Female,2023-07-09,Consumer,Silver,Regular,Yes
167,Sandra,Smith,sandra.smith.167@protonmail.com,(397) 569-2634,Richmond,VA,South,1985,Female,2023-05-28,Consumer,Bronze,Frequent,Yes
168,Sophia,Thomas,sophia.thomas.168@yahoo.com,(890) 790-7558,Atlanta,GA,South,1949,Female,2023-05-12,Consumer,Bronze,Occasional,Yes
169,Steven,Torres,steven.torres.169@gmail.com,(941) 752-7578,Pittsburgh,PA,Northeast,1993,Male,2023-10-22,Consumer,Silver,Regular,Yes
170,Karen,Hernandez,karen.hernandez.170@yahoo.com,(851) 785-9135,Indianapolis,IN,Midwest,2001,Female,2025-02-17,Consumer,Gold,Occasional,Yes
171,Barbara,Flores,barbara.flores.171@icloud.com,(375) 895-4692,Pittsburgh,PA,Northeast,1997,Female,2024-01-07,Consumer,Bronze,Occasional,Yes
172,Jessica,Walker,jessica.walker.172@icloud.com,(486) 218-8269,St. Louis,MO,Midwest,1949,Female,2023-07-05,Consumer,Bronze,Frequent,Yes
173,Jason,Sanchez,jason.sanchez.173@gmail.com,(972) 834-9742,Seattle,WA,West,1971,Male,2026-02-07,Consumer,Bronze,Occasional,Yes
174,Nicole,Williams,nicole.williams.174@icloud.com,(260) 950-1999,Newark,NJ,Northeast,1950,Female,2024-09-08,Consumer,Bronze,Frequent,Yes
175,Patricia,Harris,patricia.harris.175@protonmail.com,(443) 223-5866,Seattle,WA,West,1959,Female,2023-03-11,Consumer,Bronze,Occasional,Yes
176,Linda,Nguyen,linda.nguyen.176@protonmail.com,(965) 893-1328,St. Louis,MO,Midwest,1947,Female,2024-02-13,Consumer,Gold,Regular,Yes
177,Linda,Johnson,linda.johnson.177@icloud.com,(739) 520-6346,Columbus,OH,Midwest,1994,Female,2023-12-18,Consumer,Bronze,Occasional,Yes
